NAMESPACE         NAME                                                TYPE           CLUSTER-IP      EXTERNAL-IP   PORT(S)                        AGE     SELECTOR
default           kubernetes                                          ClusterIP      10.96.0.1       <none>        443/TCP                        3h57m   <none>
ingress-nginx     ingress-nginx-controller                            LoadBalancer   10.96.235.5     <pending>     80:32622/TCP,443:31580/TCP     3h57m   app.kubernetes.io/component=controller,app.kubernetes.io/instance=ingress-nginx,app.kubernetes.io/name=ingress-nginx
ingress-nginx     ingress-nginx-controller-admission                  ClusterIP      10.96.237.57    <none>        443/TCP                        3h57m   app.kubernetes.io/component=controller,app.kubernetes.io/instance=ingress-nginx,app.kubernetes.io/name=ingress-nginx
krkn-ps-fixture   web-lb                                              LoadBalancer   10.96.243.148   <pending>     80:30892/TCP                   3h56m   app=web
krkn-ps-fixture   web-svc                                             ClusterIP      10.96.143.163   <none>        80/TCP                         3h56m   app=web
kube-system       kps-kube-prometheus-stack-coredns                   ClusterIP      None            <none>        9153/TCP                       17m     k8s-app=kube-dns
kube-system       kps-kube-prometheus-stack-kube-controller-manager   ClusterIP      None            <none>        10257/TCP                      17m     component=kube-controller-manager
kube-system       kps-kube-prometheus-stack-kube-etcd                 ClusterIP      None            <none>        2381/TCP                       17m     component=etcd
kube-system       kps-kube-prometheus-stack-kube-proxy                ClusterIP      None            <none>        10249/TCP                      17m     k8s-app=kube-proxy
kube-system       kps-kube-prometheus-stack-kube-scheduler            ClusterIP      None            <none>        10259/TCP                      17m     component=kube-scheduler
kube-system       kps-kube-prometheus-stack-kubelet                   ClusterIP      None            <none>        10250/TCP,4194/TCP,10255/TCP   15m     <none>
kube-system       kube-dns                                            ClusterIP      10.96.0.10      <none>        53/UDP,53/TCP,9153/TCP         3h57m   k8s-app=kube-dns
monitoring        kps-kube-prometheus-stack-operator                  ClusterIP      10.96.204.68    <none>        443/TCP                        17m     app=kube-prometheus-stack-operator,release=kps
monitoring        kps-kube-prometheus-stack-prometheus                ClusterIP      10.96.191.114   <none>        9090/TCP,8080/TCP              17m     app.kubernetes.io/name=prometheus,operator.prometheus.io/name=kps-kube-prometheus-stack-prometheus
monitoring        kps-kube-state-metrics                              ClusterIP      10.96.38.27     <none>        8080/TCP                       17m     app.kubernetes.io/instance=kps,app.kubernetes.io/name=kube-state-metrics
monitoring        kps-prometheus-node-exporter                        ClusterIP      10.96.124.222   <none>        9100/TCP                       17m     app.kubernetes.io/instance=kps,app.kubernetes.io/name=prometheus-node-exporter
monitoring        prometheus-operated                                 ClusterIP      None            <none>        9090/TCP                       15m     app.kubernetes.io/name=prometheus
